media	mediaws	growth	geneko	addtlCpd
MOPS_NoC_2-Deoxy-D-Ribose	EdwardsMedia	0	none	none
MOPS_NoC_4-Hydroxy-Phenylacetate	EdwardsMedia	0	none	none
MOPS_NoC_Acetate	EdwardsMedia	1	none	none
MOPS_NoC_Adenosine	EdwardsMedia	1	none	none
MOPS_NoC_Adonitol	EdwardsMedia	0	none	none
MOPS_NoC_Alpha-D-Glucose	EdwardsMedia	1	none	none
MOPS_NoC_Cellobiose	EdwardsMedia	1	none	none
MOPS_NoC_Citrate	EdwardsMedia	1	none	none
MOPS_NoC_D-Alanine	EdwardsMedia	1	none	none
MOPS_NoC_D-Arabinose	EdwardsMedia	1	none	none
MOPS_NoC_D-Arabitol	EdwardsMedia	0	none	none
MOPS_NoC_D-Asparagine	EdwardsMedia	0	none	none
MOPS_NoC_D-Aspartate	EdwardsMedia	0	none	none
MOPS_NoC_D-Cysteine	EdwardsMedia	0	none	none
MOPS_NoC_D-Fructose	EdwardsMedia	1	none	none
MOPS_NoC_D-Galactose	EdwardsMedia	1	none	none
MOPS_NoC_D-Glucosamine	EdwardsMedia	1	none	none
MOPS_NoC_D-Glucose	EdwardsMedia	1	none	none
MOPS_NoC_D-Glucose-6-phosphate	EdwardsMedia	1	none	none
MOPS_NoC_D-Glutamate	EdwardsMedia	0	none	none
MOPS_NoC_D-Mannose	EdwardsMedia	1	none	none
MOPS_NoC_D-Ribose	EdwardsMedia	1	none	none
MOPS_NoC_D-Serine	EdwardsMedia	1	none	none
MOPS_NoC_D-Xylose	EdwardsMedia	1	none	none
MOPS_NoC_Dulcitol	EdwardsMedia	1	none	none
MOPS_NoC_Erythritol	EdwardsMedia	0	none	none
MOPS_NoC_Glycerol	EdwardsMedia	1	none	none
MOPS_NoC_Glycine	EdwardsMedia	0	none	none
MOPS_NoC_Inosine	EdwardsMedia	1	none	none
MOPS_NoC_L-Alanine	EdwardsMedia	0	none	none
MOPS_NoC_L-Arabinose	EdwardsMedia	1	none	none
MOPS_NoC_L-Arabitol	EdwardsMedia	0	none	none
MOPS_NoC_L-Asparagine	EdwardsMedia	1	none	none
MOPS_NoC_L-Aspartate	EdwardsMedia	0	none	none
MOPS_NoC_L-Cysteate	EdwardsMedia	0	none	none
MOPS_NoC_L-Cysteine	EdwardsMedia	0	none	none
MOPS_NoC_L-Fucose	EdwardsMedia	1	none	none
MOPS_NoC_L-Glutamate	EdwardsMedia	0	none	none
MOPS_NoC_L-Glutamine	EdwardsMedia	1	none	none
MOPS_NoC_L-Isoleucine	EdwardsMedia	0	none	none
MOPS_NoC_L-Leucine	EdwardsMedia	0	none	none
MOPS_NoC_L-Lysine	EdwardsMedia	0	none	none
MOPS_NoC_L-Methionine	EdwardsMedia	0	none	none
MOPS_NoC_L-Phenylalanine	EdwardsMedia	0	none	none
MOPS_NoC_L-Pyro-Glutamate	EdwardsMedia	0	none	none
MOPS_NoC_L-Rhamnose	EdwardsMedia	1	none	none
MOPS_NoC_L-Serine	EdwardsMedia	1	none	none
MOPS_NoC_L-Sorbose	EdwardsMedia	0	none	none
MOPS_NoC_L-Threonine	EdwardsMedia	0	none	none
MOPS_NoC_L-Tryptophan	EdwardsMedia	0	none	none
MOPS_NoC_L-Valine	EdwardsMedia	0	none	none
MOPS_NoC_L-Xylose	EdwardsMedia	0	none	none
MOPS_NoC_Lactate	EdwardsMedia	1	none	none
MOPS_NoC_Lactulose	EdwardsMedia	0	none	none
MOPS_NoC_Malate	EdwardsMedia	0	none	none
MOPS_NoC_Melibiose	EdwardsMedia	1	none	none
MOPS_NoC_Myo-Inositol	EdwardsMedia	1	none	none
MOPS_NoC_Oxalate	EdwardsMedia	0	none	none
MOPS_NoC_Propionate	EdwardsMedia	0	none	none
MOPS_NoC_Putrescine	EdwardsMedia	0	none	none
MOPS_NoC_Pyruvate	EdwardsMedia	1	none	none
MOPS_NoC_Quinate	EdwardsMedia	0	none	none
MOPS_NoC_Raffinose	EdwardsMedia	0	none	none
MOPS_NoC_Salicoside	EdwardsMedia	0	none	none
MOPS_NoC_Succinate	EdwardsMedia	1	none	none
MOPS_NoC_Sucrose	EdwardsMedia	0	none	none
MOPS_NoC_Thymidine	EdwardsMedia	0	none	none
MOPS_NoC_Trehalose	EdwardsMedia	1	none	none
MOPS_NoC_Xylitol	EdwardsMedia	0	none	none
MOPS_NoN_Adenine	EdwardsMedia	1	none	none
MOPS_NoN_Adenosine	EdwardsMedia	1	none	none
MOPS_NoN_Allantoin	EdwardsMedia	1	none	none
MOPS_NoN_Beta-Phenylethylamine	EdwardsMedia	0	none	none
MOPS_NoN_Biuret	EdwardsMedia	0	none	none
MOPS_NoN_Cytidine	EdwardsMedia	1	none	none
MOPS_NoN_Cytosine	EdwardsMedia	1	none	none
MOPS_NoN_D-Methionine	EdwardsMedia	0	none	none
MOPS_NoN_D-Valine	EdwardsMedia	0	none	none
MOPS_NoN_Glycine	EdwardsMedia	1	none	none
MOPS_NoN_Histamine	EdwardsMedia	0	none	none
MOPS_NoN_Inosine	EdwardsMedia	0	none	none
MOPS_NoN_L-Arginine	EdwardsMedia	1	none	none
MOPS_NoN_L-Histidine	EdwardsMedia	1	none	none
MOPS_NoN_L-Proline	EdwardsMedia	1	none	none
MOPS_NoN_L-Pyro-Glutamate	EdwardsMedia	1	none	none
MOPS_NoN_N-Acetyl-D-Glucosamine	EdwardsMedia	1	none	none
MOPS_NoN_Thiourea	EdwardsMedia	0	none	none
MOPS_NoN_Thymine	EdwardsMedia	1	none	none
MOPS_NoN_Tyramine	EdwardsMedia	0	none	none
MOPS_NoN_Uridine	EdwardsMedia	1	none	none
