	0.333333333333
PPO candidate 1	0.833333333333
hydrolase family protein	0.833333333333
Allantoate amidohydrolase (EC 3.5.3.9)	0.166666666667
Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases	0.666666666667
DUF124 domain-containing protein	0.833333333333
Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5) / Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	1.0
3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)	0.166666666667
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	1.0
putative ATP-dependent RNA helicase	0.333333333333
Glucose-6-phosphate isomerase (EC 5.3.1.9)	1.0
Programmed cell death toxin MazF like	0.166666666667
Secretion protein HlyD	0.333333333333
Flagellar hook-associated protein FliD	0.5
Uncharacterized protein, similar to the N-terminal domain of Lon protease	0.333333333333
Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	0.333333333333
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	1.0
TPR repeat	0.666666666667
YD repeat protein	0.166666666667
IncW plasmid conjugative relaxase protein TrwC (TraI homolog)	0.166666666667
D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase (EC 3.1.1.-)	1.0
aldo/keto reductase homolog	0.166666666667
Fibronectin type III domain protein	0.5
Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)	1.0
FIG01080999: hypothetical protein	0.666666666667
Na+/H+ antiporter NhaA type	0.166666666667
Glycerol-3-phosphate regulon repressor, DeoR family	0.166666666667
Survival protein SurA precursor (Peptidyl-prolyl cis-trans isomerase SurA) (EC 5.2.1.8)	1.0
proteophosphoglycan 5	0.333333333333
phospholipase/Carboxylesterase	0.333333333333
N-ethylmaleimide reductase (EC 1.-.-.-)	0.333333333333
FIG00346647: hypothetical protein	1.0
PAAR repeat-containing protein	0.333333333333
putative insertion sequence transposase protein	0.333333333333
Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)	0.833333333333
transcriptional regulator, BadM/Rrf2 family	0.333333333333
related to competence proteins	0.333333333333
Dihydroorotate dehydrogenase (EC 1.3.3.1)	0.166666666667
Endoglucanase (EC 3.2.1.4)	0.166666666667
oxalate/formate antiporter	0.333333333333
Endo-1,4-beta-xylanase B precursor	0.333333333333
